Month,AustralianPort,ForeignPort,Country,Passengers_In,Passengers_Out,Passengers_Total,Year,Month_num
19-Jun,Sydney,New Delhi,India,5048,4961,10009,2019,6
19-Jun,Sydney,New York,USA,2356,2331,4687,2019,6
19-Jun,Sydney,Noumea,New Caledonia,3794,4489,8283,2019,6
19-Jun,Sydney,Osaka,Japan,3283,3105,6388,2019,6
19-Jun,Sydney,Phuket,Thailand,4144,4182,8326,2019,6
19-Jun,Sydney,Port Moresby,Papua New Guinea,663,665,1328,2019,6
19-Jun,Sydney,Port Vila,Vanuatu,3150,3433,6583,2019,6
19-Jun,Sydney,Qingdao,China,1500,1650,3150,2019,6
19-Jun,Sydney,Queenstown,New Zealand,9436,11723,21159,2019,6
19-Jun,Sydney,Rarotonga,Cook Islands,813,1035,1848,2019,6
19-Jun,Sydney,San Francisco,USA,15046,15650,30696,2019,6
19-Jun,Sydney,Santiago,Chile,5855,6261,12116,2019,6
19-Jun,Sydney,Seoul,Korea,15366,15624,30990,2019,6
19-Jun,Sydney,Shanghai,China,16364,17311,33675,2019,6
19-Jun,Sydney,Shenzhen,China,1535,1746,3281,2019,6
19-Jun,Sydney,Singapore,Singapore,57561,65665,123226,2019,6
19-Jun,Sydney,Suva,Fiji,373,494,867,2019,6
19-Jun,Sydney,Taipei,Taiwan,8083,10215,18298,2019,6
19-Jun,Sydney,Tokyo,Japan,17577,19604,37181,2019,6
19-Jun,Sydney,Tongatapu,Tonga,740,1010,1750,2019,6
19-Jun,Sydney,Toronto,Canada,1411,1319,2730,2019,6
19-Jun,Sydney,Vancouver,Canada,5690,6366,12056,2019,6
19-Jun,Sydney,Wellington,New Zealand,11922,12828,24750,2019,6
19-Jun,Sydney,Wuhan,China,1487,1694,3181,2019,6
19-Jun,Sydney,Xiamen,China,2646,2859,5505,2019,6
19-Jun,Sydney,Xi'an,China,1390,1031,2421,2019,6
